0,SMITH THOMAS W,13F-HR,926688,1993-02-12,https://www.sec.gov/Archives/edgar/data/926688/9999999997-05-015654-index.htm
1,SMITH THOMAS W,13F-HR,926688,1993-05-14,https://www.sec.gov/Archives/edgar/data/926688/9999999997-05-015657-index.htm
4,SMITH THOMAS W,13F-HR,926688,1993-08-13,https://www.sec.gov/Archives/edgar/data/926688/9999999997-05-015665-index.htm
16,SMITH THOMAS W,13F-HR,926688,1993-11-12,https://www.sec.gov/Archives/edgar/data/926688/9999999997-05-015667-index.htm
252,AYDIN CORP,DEF 14A,8919,1994-03-18,https://www.sec.gov/Archives/edgar/data/8919/0000008919-94-000003-index.htm
253,AZTAR CORP,10-K,852807,1994-03-14,https://www.sec.gov/Archives/edgar/data/852807/0000852807-94-000004-index.htm
2357,SMITH THOMAS W,13F-HR,926688,1994-02-14,https://www.sec.gov/Archives/edgar/data/926688/9999999997-05-015672-index.htm
5583,SMITH THOMAS W,13F-HR,926688,1994-05-10,https://www.sec.gov/Archives/edgar/data/926688/9999999997-05-015679-index.htm
8417,SMITH THOMAS W,13F-HR,926688,1994-07-27,https://www.sec.gov/Archives/edgar/data/926688/9999999997-05-015680-index.htm
11124,RELIANCE GROUP HOLDINGS INC,10-Q,356395,1994-11-14,https://www.sec.gov/Archives/edgar/data/356395/0000950130-94-001617-index.htm
11303,SMITH THOMAS W,13F-HR,926688,1994-11-14,https://www.sec.gov/Archives/edgar/data/926688/9999999997-05-015681-index.htm
15589,SMITH THOMAS W,13F-HR,926688,1995-02-10,https://www.sec.gov/Archives/edgar/data/926688/9999999997-05-015683-index.htm
18172,CRIIMI MAE INC,10-K/A,847322,1995-04-27,https://www.sec.gov/Archives/edgar/data/847322/0000912057-95-002774-index.htm
22112,SMITH THOMAS W,13F-HR,926688,1995-05-12,https://www.sec.gov/Archives/edgar/data/926688/9999999997-05-015686-index.htm
28575,SMITH THOMAS W,13F-HR,926688,1995-08-14,https://www.sec.gov/Archives/edgar/data/926688/9999999997-05-015688-index.htm
29926,AMERICAN EXPRESS CO,10-Q,4962,1995-11-14,https://www.sec.gov/Archives/edgar/data/4962/0000004962-95-000043-index.htm
32931,INTEL CORP,13F-HR,50863,1995-11-13,https://www.sec.gov/Archives/edgar/data/50863/9999999997-04-025181-index.htm
32932,INTEL CORP,13F-HR,50863,1995-11-13,https://www.sec.gov/Archives/edgar/data/50863/9999999997-04-025183-index.htm
32933,INTEL CORP,13F-HR,50863,1995-11-13,https://www.sec.gov/Archives/edgar/data/50863/9999999997-04-025184-index.htm
32934,INTEL CORP,13F-HR,50863,1995-11-13,https://www.sec.gov/Archives/edgar/data/50863/9999999997-04-025187-index.htm
