,conm,type,cik,date,path
29439,"10-15 ASSOCIATES, INC.",13F-HR,1511144,2020-07-31,https://www.sec.gov/Archives/edgar/data/1511144/0001511144-20-000003-index.htm
29440,"1060 Capital, LLC",13F-HR,1602119,2020-08-14,https://www.sec.gov/Archives/edgar/data/1602119/0000950123-20-008723-index.htm
29441,"10x Genomics, Inc.",10-Q,1770787,2020-08-12,https://www.sec.gov/Archives/edgar/data/1770787/0001628280-20-012520-index.htm
29442,12 West Capital Management LP,13F-HR,1540531,2020-08-14,https://www.sec.gov/Archives/edgar/data/1540531/0000905718-20-000852-index.htm
29443,"12th Street Asset Management Company, LLC",13F-HR,1633703,2020-08-12,https://www.sec.gov/Archives/edgar/data/1633703/0001633703-20-000009-index.htm
29444,"1347 Property Insurance Holdings, Inc.",10-Q,1591890,2020-08-14,https://www.sec.gov/Archives/edgar/data/1591890/0001493152-20-015682-index.htm
29445,13D Management LLC,13F-HR,1600133,2020-08-14,https://www.sec.gov/Archives/edgar/data/1600133/0000921895-20-002237-index.htm
29446,1492 Capital Management LLC,13F-HR,1584087,2020-08-13,https://www.sec.gov/Archives/edgar/data/1584087/0001584087-20-000006-index.htm
29447,"1607 Capital Partners, LLC",13F-HR,1436866,2020-08-14,https://www.sec.gov/Archives/edgar/data/1436866/0001172661-20-001696-index.htm
29448,1623 Capital LLC,13F-HR,1811034,2020-08-11,https://www.sec.gov/Archives/edgar/data/1811034/0001420506-20-000866-index.htm
29449,1776 Wealth LLC,13F-HR,1803140,2020-08-04,https://www.sec.gov/Archives/edgar/data/1803140/0001606587-20-000817-index.htm
29450,"180 WEALTH ADVISORS, LLC",13F-HR,1730817,2020-07-21,https://www.sec.gov/Archives/edgar/data/1730817/0001085146-20-001845-index.htm
29451,1832 Asset Management L.P.,13F-HR,944388,2020-08-14,https://www.sec.gov/Archives/edgar/data/944388/0001062993-20-003985-index.htm
29452,1847 Holdings LLC,10-Q,1599407,2020-08-14,https://www.sec.gov/Archives/edgar/data/1599407/0001213900-20-022300-index.htm
29453,"1895 Bancorp of Wisconsin, Inc.",10-Q,1751692,2020-08-14,https://www.sec.gov/Archives/edgar/data/1751692/0001193125-20-219803-index.htm
29454,1922 Investment Co LLC,13F-HR,1584289,2020-08-14,https://www.sec.gov/Archives/edgar/data/1584289/0000950123-20-008862-index.htm
29455,1Life Healthcare Inc,10-Q,1404123,2020-08-13,https://www.sec.gov/Archives/edgar/data/1404123/0001564590-20-040010-index.htm
29456,1ST CONSTITUTION BANCORP,10-Q,1141807,2020-08-10,https://www.sec.gov/Archives/edgar/data/1141807/0001141807-20-000023-index.htm
29457,1ST SOURCE BANK,13F-HR,356264,2020-08-07,https://www.sec.gov/Archives/edgar/data/356264/0000356264-20-000007-index.htm
29458,1ST SOURCE CORP,10-Q,34782,2020-07-23,https://www.sec.gov/Archives/edgar/data/34782/0000034782-20-000107-index.htm
29459,1ST SOURCE CORP,10-Q/A,34782,2020-07-31,https://www.sec.gov/Archives/edgar/data/34782/0000034782-20-000114-index.htm
29460,1st FRANKLIN FINANCIAL CORP,10-Q,38723,2020-08-14,https://www.sec.gov/Archives/edgar/data/38723/0001376474-20-000195-index.htm
29461,"20/20 Capital Management, Inc.",13F-HR,1656866,2020-08-10,https://www.sec.gov/Archives/edgar/data/1656866/0001656866-20-000003-index.htm
29462,"20/20 Global, Inc.",NT 10-Q,1763329,2020-08-14,https://www.sec.gov/Archives/edgar/data/1763329/0001445866-20-001198-index.htm
29463,"22NW, LP",13F-HR,1694297,2020-08-14,https://www.sec.gov/Archives/edgar/data/1694297/0001214659-20-007168-index.htm
29464,"22nd Century Group, Inc.",10-Q,1347858,2020-08-06,https://www.sec.gov/Archives/edgar/data/1347858/0001558370-20-009503-index.htm
29465,"2U, Inc.",10-Q,1459417,2020-07-31,https://www.sec.gov/Archives/edgar/data/1459417/0001459417-20-000010-index.htm
29466,"360 Financial, Inc.",13F-HR,1802324,2020-07-15,https://www.sec.gov/Archives/edgar/data/1802324/0001085146-20-001778-index.htm
29467,361 CAPITAL LLC,13F-HR,1476534,2020-08-14,https://www.sec.gov/Archives/edgar/data/1476534/0001476534-20-000004-index.htm
29468,"3D ASSET MANAGEMENT, INC",13F-HR,1359371,2020-07-24,https://www.sec.gov/Archives/edgar/data/1359371/0001085146-20-001880-index.htm
29469,3D SYSTEMS CORP,10-Q,910638,2020-08-05,https://www.sec.gov/Archives/edgar/data/910638/0000910638-20-000025-index.htm
29470,"3EDGE Asset Management, LP",13F-HR,1665605,2020-07-30,https://www.sec.gov/Archives/edgar/data/1665605/0001172661-20-001565-index.htm
29471,3G Capital Partners LP,13F-HR,1421669,2020-08-14,https://www.sec.gov/Archives/edgar/data/1421669/0000905718-20-000851-index.htm
29472,3G Sahana Capital Management LP,13F-HR,1808275,2020-08-14,https://www.sec.gov/Archives/edgar/data/1808275/0001567619-20-015442-index.htm
29473,3M CO,10-Q,66740,2020-07-28,https://www.sec.gov/Archives/edgar/data/66740/0001558370-20-008507-index.htm
29474,40 North Management LLC,13F-HR,1539436,2020-08-14,https://www.sec.gov/Archives/edgar/data/1539436/0001172661-20-001797-index.htm
29475,"55I, LLC",13F-HR,1730242,2020-08-13,https://www.sec.gov/Archives/edgar/data/1730242/0001812046-20-000019-index.htm
29476,"5AM Venture Management, LLC",13F-HR,1799883,2020-08-05,https://www.sec.gov/Archives/edgar/data/1799883/0001104659-20-090815-index.htm
29477,6 Meridian,13F-HR,1730551,2020-07-09,https://www.sec.gov/Archives/edgar/data/1730551/0001085146-20-001725-index.htm
29478,"683 Capital Management, LLC",13F-HR,1404574,2020-08-14,https://www.sec.gov/Archives/edgar/data/1404574/0001567619-20-015352-index.htm
29479,"89bio, Inc.",10-Q,1785173,2020-08-13,https://www.sec.gov/Archives/edgar/data/1785173/0001564590-20-040062-index.htm
29480,8X8 INC /DE/,10-Q,1023731,2020-08-04,https://www.sec.gov/Archives/edgar/data/1023731/0001023731-20-000106-index.htm
29481,"9 METERS BIOPHARMA, INC.",10-Q,1551986,2020-08-13,https://www.sec.gov/Archives/edgar/data/1551986/0001551986-20-000244-index.htm
29482,"9258 Wealth Management, LLC",13F-HR,1766506,2020-08-13,https://www.sec.gov/Archives/edgar/data/1766506/0001765380-20-000075-index.htm
29483,"A. D. Beadell Investment Counsel, Inc.",13F-HR,1569102,2020-07-15,https://www.sec.gov/Archives/edgar/data/1569102/0001569102-20-000003-index.htm
29484,A. H. Belo Corp,10-Q,1413898,2020-07-28,https://www.sec.gov/Archives/edgar/data/1413898/0001413898-20-000063-index.htm
29485,A. M. Castle & Co.,10-Q,18172,2020-08-14,https://www.sec.gov/Archives/edgar/data/18172/0000018172-20-000049-index.htm
29486,"A.R.T. Advisors, LLC",13F-HR,1315281,2020-08-14,https://www.sec.gov/Archives/edgar/data/1315281/0001012975-20-000682-index.htm
29487,"A10 Networks, Inc.",10-Q,1580808,2020-07-30,https://www.sec.gov/Archives/edgar/data/1580808/0001580808-20-000085-index.htm
29488,"AAON, INC.",10-Q,824142,2020-08-06,https://www.sec.gov/Archives/edgar/data/824142/0000824142-20-000138-index.htm
29489,AAR CORP,10-K,1750,2020-07-21,https://www.sec.gov/Archives/edgar/data/1750/0001104659-20-085310-index.htm
29490,AARON'S INC,10-Q,706688,2020-07-29,https://www.sec.gov/Archives/edgar/data/706688/0000706688-20-000102-index.htm
29491,AB INTERNATIONAL GROUP CORP.,10-Q,1605331,2020-07-09,https://www.sec.gov/Archives/edgar/data/1605331/0001663577-20-000209-index.htm
29492,AB Private Credit Investors Corp,10-Q,1634452,2020-08-14,https://www.sec.gov/Archives/edgar/data/1634452/0001193125-20-220203-index.htm
29493,ABBOTT LABORATORIES,10-Q,1800,2020-07-29,https://www.sec.gov/Archives/edgar/data/1800/0001104659-20-087850-index.htm
29494,"ABCO Energy, Inc.",10-K,1300938,2020-08-07,https://www.sec.gov/Archives/edgar/data/1300938/0001185185-20-001098-index.htm
29495,ABEONA THERAPEUTICS INC.,10-Q,318306,2020-08-10,https://www.sec.gov/Archives/edgar/data/318306/0001493152-20-015077-index.htm
29496,ABIOMED INC,10-Q,815094,2020-08-06,https://www.sec.gov/Archives/edgar/data/815094/0001564590-20-037706-index.htm
29497,ABNER HERRMAN & BROCK LLC,13F-HR,1038661,2020-07-10,https://www.sec.gov/Archives/edgar/data/1038661/0001038661-20-000003-index.htm
29498,"ABRAMS BISON INVESTMENTS, LLC",13F-HR,1317588,2020-08-14,https://www.sec.gov/Archives/edgar/data/1317588/0000919574-20-005420-index.htm
29499,"ABRAMS CAPITAL MANAGEMENT, L.P.",13F-HR,1358706,2020-08-13,https://www.sec.gov/Archives/edgar/data/1358706/0001172661-20-001661-index.htm
29500,ABRAXAS PETROLEUM CORP,10-Q,867665,2020-07-06,https://www.sec.gov/Archives/edgar/data/867665/0001437749-20-014626-index.htm
29501,ABRAXAS PETROLEUM CORP,10-Q,867665,2020-08-11,https://www.sec.gov/Archives/edgar/data/867665/0001437749-20-017490-index.htm
29502,ABRAXAS PETROLEUM CORP,NT 10-Q,867665,2020-08-10,https://www.sec.gov/Archives/edgar/data/867665/0001437749-20-017335-index.htm
29503,"ABSHER WEALTH MANAGEMENT, LLC",13F-HR,1802534,2020-07-27,https://www.sec.gov/Archives/edgar/data/1802534/0001725547-20-000059-index.htm
29504,"ABV CONSULTING, INC.",10-Q,1607450,2020-08-14,https://www.sec.gov/Archives/edgar/data/1607450/0001640334-20-002132-index.htm
29505,ACACIA RESEARCH CORP,10-Q,934549,2020-08-10,https://www.sec.gov/Archives/edgar/data/934549/0001683168-20-002605-index.htm
29506,ACADEMY CAPITAL MANAGEMENT INC/TX,13F-HR,1031972,2020-08-07,https://www.sec.gov/Archives/edgar/data/1031972/0001031972-20-000004-index.htm
29507,ACADIA PHARMACEUTICALS INC,10-Q,1070494,2020-08-06,https://www.sec.gov/Archives/edgar/data/1070494/0001564590-20-036993-index.htm
29508,ACADIA REALTY TRUST,10-Q,899629,2020-08-10,https://www.sec.gov/Archives/edgar/data/899629/0001564590-20-038427-index.htm
29509,ACADIAN ASSET MANAGEMENT LLC,13F-HR,916542,2020-08-12,https://www.sec.gov/Archives/edgar/data/916542/0001567619-20-014870-index.htm
29510,ACCELERON PHARMA INC,10-Q,1280600,2020-08-06,https://www.sec.gov/Archives/edgar/data/1280600/0001280600-20-000059-index.htm
29511,"ACCESS FINANCIAL SERVICES, INC.",13F-HR,1699622,2020-08-11,https://www.sec.gov/Archives/edgar/data/1699622/0001085146-20-002095-index.htm
29512,ACCIDENT COMPENSATION CORP,13F-HR,1618832,2020-08-14,https://www.sec.gov/Archives/edgar/data/1618832/0001618832-20-000003-index.htm
29513,ACCO BRANDS Corp,10-Q,712034,2020-07-29,https://www.sec.gov/Archives/edgar/data/712034/0000712034-20-000117-index.htm
29514,ACCOUNT MANAGEMENT LLC,13F-HR,769954,2020-08-04,https://www.sec.gov/Archives/edgar/data/769954/0000950123-20-007617-index.htm
29515,"ACCURATE INVESTMENT SOLUTIONS, INC.",13F-HR,1607863,2020-08-13,https://www.sec.gov/Archives/edgar/data/1607863/0001214659-20-007034-index.htm
29516,ACELRX PHARMACEUTICALS INC,10-Q,1427925,2020-08-10,https://www.sec.gov/Archives/edgar/data/1427925/0001437749-20-017343-index.htm
29517,"ACHIEVE LIFE SCIENCES, INC.",10-Q,949858,2020-08-06,https://www.sec.gov/Archives/edgar/data/949858/0001564590-20-037768-index.htm
29518,"ACI WORLDWIDE, INC.",10-Q,935036,2020-08-06,https://www.sec.gov/Archives/edgar/data/935036/0000935036-20-000031-index.htm
29519,ACK Asset Management LLC,13F-HR,1510940,2020-08-13,https://www.sec.gov/Archives/edgar/data/1510940/0001567619-20-015076-index.htm
29520,"ACM Research, Inc.",10-Q,1680062,2020-08-10,https://www.sec.gov/Archives/edgar/data/1680062/0001140361-20-017994-index.htm
29521,ACME UNITED CORP,10-Q,2098,2020-08-10,https://www.sec.gov/Archives/edgar/data/2098/0001564590-20-038456-index.htm
29522,ACNB CORP,10-Q,715579,2020-07-31,https://www.sec.gov/Archives/edgar/data/715579/0000715579-20-000060-index.htm
29523,"ACON Equity Management, L.L.C.",13F-HR,1731031,2020-08-14,https://www.sec.gov/Archives/edgar/data/1731031/0001567619-20-015249-index.htm
29524,ACORDA THERAPEUTICS INC,10-Q,1008848,2020-08-10,https://www.sec.gov/Archives/edgar/data/1008848/0001564590-20-038393-index.htm
29525,ACORDA THERAPEUTICS INC,DEF 14A,1008848,2020-07-06,https://www.sec.gov/Archives/edgar/data/1008848/0001564590-20-031755-index.htm
29526,"ACORN ENERGY, INC.",10-Q,880984,2020-08-12,https://www.sec.gov/Archives/edgar/data/880984/0001493152-20-015339-index.htm
29527,"ACORN ENERGY, INC.",DEF 14A,880984,2020-08-11,https://www.sec.gov/Archives/edgar/data/880984/0001493152-20-015258-index.htm
29528,ACORN FINANCIAL ADVISORY SERVICES INC /ADV,13F-HR,1018561,2020-07-10,https://www.sec.gov/Archives/edgar/data/1018561/0001018561-20-000005-index.htm
29529,ACQUIRED SALES CORP,NT 10-Q,1391135,2020-08-14,https://www.sec.gov/Archives/edgar/data/1391135/0001445866-20-001196-index.htm
29530,"ACR Alpine Capital Research, LLC",13F-HR,1508822,2020-07-31,https://www.sec.gov/Archives/edgar/data/1508822/0001085146-20-001960-index.htm
29531,"ACRO BIOMEDICAL CO., LTD.",NT 10-Q,1622996,2020-08-14,https://www.sec.gov/Archives/edgar/data/1622996/0001640334-20-002106-index.htm
29532,ACTIAM N.V.,13F-HR,1619124,2020-07-21,https://www.sec.gov/Archives/edgar/data/1619124/0001619124-20-000006-index.htm
29533,"ACURA PHARMACEUTICALS, INC",10-Q,786947,2020-08-14,https://www.sec.gov/Archives/edgar/data/786947/0001104659-20-095517-index.htm
29534,"ACUTA CAPITAL PARTNERS, LLC",13F-HR,1582844,2020-08-14,https://www.sec.gov/Archives/edgar/data/1582844/0001493152-20-015864-index.htm
29535,"ADAGE CAPITAL PARTNERS GP, L.L.C.",13F-HR,1165408,2020-08-14,https://www.sec.gov/Archives/edgar/data/1165408/0001172661-20-001689-index.htm
29536,ADAMCAPITAL Gestao de Recursos Ltda.,13F-HR,1732080,2020-08-13,https://www.sec.gov/Archives/edgar/data/1732080/0001567619-20-015123-index.htm
29537,"ADAMS DIVERSIFIED EQUITY FUND, INC.",13F-HR,2230,2020-07-23,https://www.sec.gov/Archives/edgar/data/2230/0001104659-20-085958-index.htm
29538,"ADAMS NATURAL RESOURCES FUND, INC.",13F-HR,216851,2020-07-23,https://www.sec.gov/Archives/edgar/data/216851/0001104659-20-085960-index.htm
29539,"ADAMS RESOURCES & ENERGY, INC.",10-Q,2178,2020-08-06,https://www.sec.gov/Archives/edgar/data/2178/0000002178-20-000105-index.htm
29540,ADAMS STREET PARTNERS LLC,13F-HR,1193586,2020-08-13,https://www.sec.gov/Archives/edgar/data/1193586/0001104659-20-094475-index.htm
29541,ADDENTAX GROUP CORP.,10-Q,1650101,2020-08-14,https://www.sec.gov/Archives/edgar/data/1650101/0001493152-20-015658-index.htm
29542,ADDVANTAGE TECHNOLOGIES GROUP INC,10-Q,874292,2020-08-11,https://www.sec.gov/Archives/edgar/data/874292/0001445260-20-000071-index.htm
29543,ADELL HARRIMAN & CARPENTER INC,13F-HR,1134152,2020-08-13,https://www.sec.gov/Archives/edgar/data/1134152/0001134152-20-000007-index.htm
29544,"ADIAL PHARMACEUTICALS, INC.",10-Q,1513525,2020-08-13,https://www.sec.gov/Archives/edgar/data/1513525/0001213900-20-021918-index.htm
29545,"ADIAL PHARMACEUTICALS, INC.",DEF 14A,1513525,2020-07-21,https://www.sec.gov/Archives/edgar/data/1513525/0001213900-20-018019-index.htm
29546,"ADM ENDEAVORS, INC.",10-Q,1588014,2020-07-30,https://www.sec.gov/Archives/edgar/data/1588014/0001493152-20-014253-index.htm
29547,"ADM TRONICS UNLIMITED, INC.",10-K,849401,2020-07-14,https://www.sec.gov/Archives/edgar/data/849401/0001437749-20-015110-index.htm
